song_id,title,artist,genre,album,popularity,mood,language,release_year,description
id_052,Song Title 52,Artist W,afrobeat,Album 16,48,happy,English,2020,A happy afrobeat song .
id_053,Song Title 53,Artist B,acoustic,Album 18,23,calm,English,2016,A calm acoustic song .
id_054,Song Title 54,Artist M,lofi,Album 10,78,calm,English,2018,A calm lofi song .
id_055,Song Title 55,Artist Y,afrobeat,Album 16,8,happy,English,2019,A happy afrobeat song .
id_056,Song Title 56,Artist D,indie,Album 8,49,nostalgic,English,2022,A nostalgic indie song .
id_057,Song Title 57,Artist Z,afrobeat,Album 19,98,upbeat,English,2021,A upbeat afrobeat song .
id_058,Song Title 58,Artist N,afrobeat,Album 3,78,upbeat,English,2015,A upbeat afrobeat song .
id_059,Song Title 59,Artist Z,lofi,Album 18,97,calm,English,2022,A calm lofi song .
id_060,Song Title 60,Artist Z,afrobeat,Album 19,58,upbeat,English,2016,A upbeat afrobeat song .
id_061,Song Title 61,Artist X,afrobeat,Album 15,27,happy,English,2021,A happy afrobeat song .
id_062,Song Title 62,Artist I,afrobeat,Album 19,98,happy,English,2019,A happy afrobeat song .
id_063,Song Title 63,Artist B,lofi,Album 2,86,chill,English,2022,A chill lofi song .
id_064,Song Title 64,Artist V,indie,Album 12,14,thoughtful,English,2015,A thoughtful indie song .
id_065,Song Title 65,Artist Y,pop,Album 4,16,happy,English,2016,A happy pop song .
id_066,Song Title 66,Artist W,pop,Album 3,80,energetic,English,2019,A energetic pop song .
id_067,Song Title 67,Artist V,indie,Album 20,50,nostalgic,English,2016,A nostalgic indie song .
id_068,Song Title 68,Artist R,lofi,Album 9,34,chill,English,2020,A chill lofi song .
id_069,Song Title 69,Artist Y,indie,Album 13,21,thoughtful,English,2018,A thoughtful indie song .
id_070,Song Title 70,Artist Z,indie,Album 6,77,nostalgic,English,2017,A nostalgic indie song .
id_071,Song Title 71,Artist X,lofi,Album 20,29,chill,English,2015,A chill lofi song .
id_072,Song Title 72,Artist O,indie,Album 10,19,thoughtful,English,2017,A thoughtful indie song .
id_073,Song Title 73,Artist D,indie,Album 14,82,thoughtful,English,2023,A thoughtful indie song .
id_074,Song Title 74,Artist S,indie,Album 15,81,thoughtful,English,2023,A thoughtful indie song .
id_075,Song Title 75,Artist S,afrobeat,Album 20,40,happy,English,2023,A happy afrobeat song .
id_076,Song Title 76,Artist A,pop,Album 10,20,happy,English,2020,A happy pop song .
id_077,Song Title 77,Artist M,afrobeat,Album 9,71,happy,English,2021,A happy afrobeat song .
id_078,Song Title 78,Artist L,afrobeat,Album 4,43,upbeat,English,2022,A upbeat afrobeat song .
id_079,Song Title 79,Artist W,pop,Album 18,15,happy,English,2020,A happy pop song .
id_080,Song Title 80,Artist E,afrobeat,Album 6,70,energetic,English,2022,A energetic afrobeat song .
id_081,Song Title 81,Artist Z,indie,Album 18,24,nostalgic,English,2022,A nostalgic indie song .
id_082,Song Title 82,Artist N,acoustic,Album 3,58,calm,English,2023,A calm acoustic song .
id_083,Song Title 83,Artist R,pop,Album 19,1,energetic,English,2019,A energetic pop song .
id_084,Song Title 84,Artist K,afrobeat,Album 9,87,upbeat,English,2019,A upbeat afrobeat song .
id_085,Song Title 85,Artist U,acoustic,Album 11,69,sad,English,2015,A sad acoustic song .
id_086,Song Title 86,Artist J,acoustic,Album 7,45,sad,English,2015,A sad acoustic song .
id_087,Song Title 87,Artist R,indie,Album 1,16,nostalgic,English,2016,A nostalgic indie song .
id_088,Song Title 88,Artist W,afrobeat,Album 7,69,upbeat,English,2021,A upbeat afrobeat song .
id_089,Song Title 89,Artist Y,lofi,Album 5,5,calm,English,2020,A calm lofi song .
id_090,Song Title 90,Artist K,lofi,Album 16,44,calm,English,2022,A calm lofi song .
id_091,Song Title 91,Artist T,afrobeat,Album 5,1,happy,English,2021,A happy afrobeat song .
id_092,Song Title 92,Artist I,lofi,Album 4,64,chill,English,2018,A chill lofi song .
id_093,Song Title 93,Artist M,pop,Album 12,58,happy,English,2015,A happy pop song .
id_094,Song Title 94,Artist W,indie,Album 8,23,thoughtful,English,2022,A thoughtful indie song .
id_095,Song Title 95,Artist F,acoustic,Album 12,82,calm,English,2017,A calm acoustic song .
id_096,Song Title 96,Artist A,indie,Album 4,57,nostalgic,English,2019,A nostalgic indie song .
id_097,Song Title 97,Artist F,indie,Album 17,3,nostalgic,English,2020,A nostalgic indie song .
id_098,Song Title 98,Artist O,indie,Album 19,24,thoughtful,English,2022,A thoughtful indie song .
id_099,Song Title 99,Artist J,lofi,Album 17,72,calm,English,2019,A calm lofi song .
id_100,Song Title 100,Artist Y,lofi,Album 7,44,chill,English,2019,A chill lofi song .
